bact,jacc
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.031
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.034
rnd_2_true_1,0.031
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.031
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.033
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.032
rnd_2_true_1,0.033
